;Carbon_T;PSII;PSI;Cyt6bf;ATPsyn;C_fix;Met;Ribosome
x_C;-0.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0
x_PSU;0.0;-0.1;-0.1;0.0;0.0;0.0;0.0;0.0
CO2;1.0;0.0;0.0;0.0;0.0;-0.9;0.0;0.0
H+;0.0;0.02;0.0;0.01;-1.0;0.0;0.0;0.0
PC;0.0;0.0;0.99;-0.7;0.0;0.0;0.0;0.0
PC-;0.0;0.0;-0.9;0.69;0.0;0.0;0.0;0.0
PQ;0.0;-0.9;0.0;0.3;0.0;0.0;0.0;0.0
PQH2;0.0;0.98;0.0;-0.3;0.0;0.0;0.0;0.0
ATP;-0.01;0.0;0.0;0.0;1.0;-0.05;-0.05;-0.3
NADPH;0.0;0.0;0.01;0.0;0.0;-0.05;-0.05;0.0
C3;0.0;0.0;0.0;0.0;0.0;1.0;-0.9;0.0
A;0.0;0.0;0.0;0.0;0.0;0.0;1.0;-0.7
Protein;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
